iso_alpha,Italienisches Essen,Chinesisches Essen,Deutsches Essen,bundesland
DE-BW,37,39,24,Baden-Württemberg
DE-BY,40,38,22,Bayern
DE-BE,27,42,31,Berlin
DE-BB,37,63,0,Brandenburg
DE-HB,0,100,0,Bremen
DE-HH,53,0,47,Hamburg
DE-HE,41,39,20,Hessen
DE-MV,0,0,0,Mecklenburg-Vorpommern
DE-NI,15,18,67,Niedersachsen
DE-NW,47,45,8,Nordrhein-Westfalen
DE-RP,56,44,0,Rheinland-Pfalz
DE-SL,0,0,0,Saarland
DE-SN,31,36,33,Sachsen
DE-ST,0,0,0,Sachsen-Anhalt
DE-SH,44,31,25,Schleswig-Holstein
DE-TH,0,100,0,Thüringen
